Total,2680.79,,,,,,,,,,Total,"$36,564.04",,,,,,Total,1558.4,,,,
,John,$250.00,$170.00,$80.00,$80.00,$50.00,$200.00,,830,,Savings,,$170.00,$400.00,$570.00,,,Bills,,$0.00,,$0.00,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Envelope Totals,$327.34,"$1,157.96",$76.32,$260.00,$200.00,$659.17,$0.00,,,Envelope Totals,,"$1,190.00","$1,488.88","$33,885.16",,,,,"$1,558.40",$0.00,,
Date,Disc,Gas,Maint,John,Pastor Fund,med,School,Misc,,,Date,Disc,Tax,Saving,,,,Date,Disc,Bills,Med,,
02/13/22,start,$250.00,$170.00,$80.00,$80.00,$50.00,$200.00,,$830.00,,,,$340.00,$800.00,,,,,,"$1,558.40",,,
02/14/22,foodlion,,,,,,,-$7.14,-$7.14,,03/01/22,dep,$170.00,$400.00,,$570.00,,,,,,,
,foodlion,,,,,,,-$14.04,-$14.04,,03/02/22,xfer,,,"$34,885.16","$34,885.16",,,,,,,
,bojangles,,,,,,,-$16.23,-$16.23,,03/10/22,dep,,$0.09,,$0.09,,,,,,,
,foodlion,,,,,,,-$29.46,-$29.46,,03/24/22,dep,$0.00,$0.00,,$0.00,,,,,,,
02/15/22,hallmark,,,-$10.70,,,,,-$10.70,,03/18/22,xfer Judy,,,"-$1,000.00","-$1,000.00",,,,,,,
02/16/22,gas,-$50.83,,,,,,,-$50.83,,04/12/22,dep,,$0.33,,$0.33,,,,,,,
02/24/22,gas,-$55.38,,,,,,,,,04/30/22,,,,,$0.00,,,,,,,
03/01/22,dep,$250.00,$170.00,$80.00,$80.00,$50.00,$200.00,$66.00,$896.00,,04/30/22,dep,$170.00,$400.00,,$570.00,,,,,,,
03/07/22,xfer,,,,,-$33.13,,,-$33.13,,05/11/22,dep,,$0.28,,$0.28,,,,,,,
,Walmart,,-$16.02,,,,,,-$16.02,,05/28/22,dep,$170.00,$400.00,,$570.00,,,,,,,
,gas,-$42.81,,,,,,,-$42.81,,06/04/22,xfer to savings,,,"-$1,615.02","-$1,615.02",,,,,,,
03/10/22,Spotify,,,,,,,-$10.71,-$10.71,,06/10/22,dep,,$0.30,,,,,,,,,
03/12/22,xfer,-$49.05,,,,,,,-$49.05,,06/11/22,xfer fm bills,,"$1,320.19","$1,615.02","$2,935.21",,,,,,,
,,,,,,,,,,,06/25/22,dep,$170.00,$400.00,,$570.00,,,,,,,
03/14/22,Adobe,,,-$24.66,,,,,-$24.66,,06/29/22,xfer to credit,,-$926.02,,,,,,,,,
03/16/22,Quick Pass,,-$16.02,,,,,,-$16.02,,07/05/22,xfer to bills,,-$946.79,,,,,,,,,
03/21/22,foodlion,,,,,,,-$6.42,-$6.42,,07/13/22,interest,,$0.34,,,,,,,,,
,pastor fund,,,,-$100.00,,,,-$100.00,,07/30/22,dep,$170.00,$400.00,,$570.00,,,,,,,
03/23/22,gas,-$49.40,,,,,,,-$49.40,,08/06/22,xfer to credit,,-$759.84,,,,,,,,,
3/24/2022,dep,$250.00,$170.00,$80.00,$80.00,$50.00,$200.00,$11.58,$841.58,,,,,,,,,,,,,,
03/25/22,DollarShave,,,-$10.72,,,,,-$10.72,,,,,,,,,,,,,,
04/10/22,Spotify,,,,,,,-$10.71,-$10.71,,,,,,,,,,,,,,
04/14/22,Adobe,,,-$24.66,,,,,-$24.66,,,,,,,,,,,,,,
,gas,-$70.92,,,,,,,-$70.92,,,,,,,,,,,,,,
04/21/22,gas,-$43.38,,,,,,,-$43.38,,,,,,,,,,,,,,
04/23/22,xCredit,-$110.09,,-$169.26,,-$116.87,,,-$396.22,,,,,,,,,,,,,,
04/29/22,gas,-$40.54,,,,,,,-$40.54,,,,,,,,,,,,,,
04/30/22,dep,$250.00,$170.00,$80.00,$80.00,$50.00,$200.00,$17.13,$847.13,,,,,,,,,,,,,,
05/04/22,gas,-$65.86,,,,,,,-$65.86,,,,,,,,,,,,,,
05/10/22,Spotify,,,,,,,-$10.71,-$10.71,,,,,,,,,,,,,,
05/11/22,WakeTech,,,,,,-$588.00,,-$588.00,,,,,,,,,,,,,,
05/13/22,adobe,,,-$24.66,,,,,-$24.66,,,,,,,,,,,,,,
05/17/22,gas,-$43.16,,,,,,,-$43.16,,,,,,,,,,,,,,
05/20/22,foodlion,$0.00,,,,,,-$43.05,-$43.05,,,,,,,,,,,,,,
05/21/22,WakeTech,,,,,,-$152.83,,-$152.83,,,,,,,,,,,,,,
05/25/22,DollarShave,,,-$12.87,,,,,-$12.87,,,,,,,,,,,,,,
05/27/22,gas,-$45.55,,,,,,,-$45.55,,,,,,,,,,,,,,
05/28/22,dep,$250.00,$170.00,$80.00,$80.00,$50.00,$200.00,$0.00,$830.00,,,,,,,,,,,,,,
,xfer to cc,-$116.24,,,,,,,-$116.24,,,,,,,,,,,,,,
,gas,-$70.91,,,,,,,-$70.91,,,,,,,,,,,,,,
06/10/22,Spotify,,,,,,,-$10.71,-$10.71,,,,,,,,,,,,,,
06/14/22,Adobe,,,-$24.66,,,,,-$24.66,,,,,,,,,,,,,,
06/15/22,gas,-$68.39,,,,,,,-$68.39,,,,,,,,,,,,,,
06/16/22,AAA,-$154.00,,,,,,,-$154.00,,,,,,,,,,,,,,
06/21/22,pastor fund,,,,-$200.00,,,,-$200.00,,,,,,,,,,,,,,
06/24/22,gas,-$47.34,,,,,,,-$47.34,,,,,,,,,,,,,,
06/25/22,dep,$250.00,$170.00,$80.00,$80.00,$50.00,$200.00,$64.47,$894.47,,,,,,,,,,,,,,
07/01/22,gas,-$62.04,,,,,,,-$62.04,,,,,,,,,,,,,,
07/08/22,steam games,,,-$8.57,,,,,-$8.57,,,,,,,,,,,,,,
,gas,-$43.10,,,,,,,-$43.10,,,,,,,,,,,,,,
07/10/22,Spotify,,,,,,,-$10.71,-$10.71,,,,,,,,,,,,,,
07/11/22,gas,-$29.09,,,,,,,-$29.09,,,,,,,,,,,,,,
07/12/22,misc,,,-$100.00,,,,,-$100.00,,,,,,,,,,,,,,
07/13/22,adobe,,,,,,,-$24.66,-$24.66,,,,,,,,,,,,,,
07/20/22,gas,-$57.42,,,,,,,-$57.42,,,,,,,,,,,,,,
